"group","longitude","latitude"
32,11.043262,35.335107
32,11.120117,35.240283
32,10.690918,34.678467
32,10.118359,34.280078
32,10.040039,34.140332
32,10.049023,34.056299
32,10.158984,33.850049
32,10.305273,33.728271
32,10.454297,33.6625
32,10.713184,33.689014
32,10.722754,33.514404
32,10.898438,33.533691
32,10.958008,33.626318
32,11.08457,33.562891
32,11.150293,33.369238
32,11.257422,33.308838
32,11.202637,33.249219
32,11.400586,33.224902
32,11.502441,33.155566
33,11.123633,34.681689
33,11.153027,34.74458
33,11.254883,34.820312
33,11.281055,34.802197
33,11.278027,34.753809
33,11.123633,34.681689
34,11.037598,33.785059
34,10.857422,33.687158
34,10.72207,33.738916
34,10.745215,33.888672
34,10.921973,33.893115
34,11.017871,33.82334
34,11.037598,33.785059
35,9.182813,47.670703
35,9.625879,47.467041
35,9.484277,47.172656
35,9.487695,47.062256
35,9.845313,47.007373
35,9.877734,46.937695
35,10.133496,46.851514
35,10.349414,46.984766
35,10.414941,46.964404
35,10.45459,46.899414
35,10.397949,46.665039
35,10.438281,46.618848
35,10.430664,46.550049
35,10.272266,46.564844
35,10.195508,46.621094
35,10.087012,46.599902
35,10.038281,46.483203
35,10.109668,46.362842
35,10.12832,46.238232
35,10.041016,46.238086
35,9.939258,46.361816
35,9.639453,46.295898
35,9.528711,46.306201
35,9.427637,46.482324
35,9.304395,46.495557
35,9.260156,46.475195
35,9.251074,46.286768
35,9.003027,46.014893
35,9.04668,45.875586
35,8.953711,45.830029
35,8.778027,45.996191
35,8.818555,46.077148
35,8.641699,46.110791
35,8.458398,46.245898
35,8.422559,46.446045
35,8.095703,46.271045
35,8.125195,46.160937
35,7.993164,46.015918
35,7.787891,45.921826
35,7.538574,45.978174
35,7.129004,45.88042
35,7.055762,45.903809
35,6.77207,46.165137
35,6.816797,46.275195
35,6.758105,46.415771
35,6.428906,46.430518
35,6.234668,46.332617
35,6.272949,46.252246
35,6.199414,46.193066
35,5.971484,46.151221
35,5.97002,46.214697
35,6.095898,46.279395
35,6.123242,46.378613
35,6.060254,46.428174
35,6.160742,46.611035
35,6.410156,46.75542
35,6.45625,46.94834
35,6.666895,47.026514
35,6.952051,47.267187
35,7.000586,47.339453
35,6.900391,47.394238
35,7.053418,47.489355
35,7.265723,47.425781
35,7.42002,47.455176
35,7.494922,47.547363
35,7.615625,47.592725
35,7.927051,47.563867
35,8.198242,47.606934
35,8.454004,47.596191
35,8.56709,47.651904
35,8.403418,47.687793
35,8.572656,47.775635
35,8.72832,47.700049
35,8.831152,47.703613
35,8.881152,47.656396
35,9.182813,47.670703
36,18.99375,57.812109
36,18.945117,57.741602
36,18.813867,57.706201
36,18.790918,57.483105
36,18.90791,57.39834
36,18.784863,57.361084
36,18.699902,57.242725
36,18.477344,57.163037
36,18.387207,57.087646
36,18.340234,56.978223
36,18.146387,56.920508
36,18.285352,57.083203
36,18.105078,57.271875
36,18.151953,57.339062
36,18.136523,57.556641
36,18.537402,57.830566
36,18.721875,57.863721
36,18.805176,57.833154
36,18.841113,57.900195
36,18.900586,57.915479
36,19.076465,57.835938
36,18.99375,57.812109
37,16.477148,56.240186
37,16.431641,56.24375
37,16.40127,56.310889
37,16.412305,56.568994
37,16.630371,56.876855
37,16.727734,56.902002
37,16.995996,57.317773
37,17.025391,57.345068
37,17.117676,57.319824
37,17.050391,57.280469
37,17.053516,57.208008
37,16.883691,56.985205
37,16.838281,56.840527
37,16.778027,56.805225
37,16.477148,56.240186
38,11.470703,58.909521
38,11.642773,58.926074
38,11.712207,59.018652
38,11.798145,59.289893
38,11.680762,59.592285
38,11.834277,59.697168
38,11.932129,59.863672
38,12.169238,59.912891
38,12.486133,60.106787
38,12.51582,60.305225
38,12.588672,60.450732
38,12.314648,60.892139
38,12.294141,61.002686
38,12.706055,61.059863
38,12.880762,61.352295
38,12.596094,61.541309
38,12.155371,61.720752
38,12.301367,62.21377
38,12.303516,62.285596
38,12.114551,62.591895
38,12.139844,62.721338
38,12.108594,62.919482
38,12.2172358795824,63
38,18.502051,62.988867
38,18.463086,62.89585
38,18.248047,62.849072
38,18.17002,62.789355
38,18.074414,62.790674
38,18.093555,62.836035
38,17.951074,62.833887
38,17.87959,62.873193
38,17.974414,62.721045
38,17.903027,62.659473
38,18.037305,62.600537
38,17.834473,62.502734
38,17.570605,62.451025
38,17.410254,62.508398
38,17.37334,62.426514
38,17.429004,62.334717
38,17.633691,62.233008
38,17.510156,62.166309
38,17.374512,61.866309
38,17.46543,61.684473
